,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,delta_mfcc_0,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,spectral_centroid_mean,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11
0,-506.4298095703125,81.15660858154297,-61.71449661254883,-13.424341201782227,-24.533720016479492,-1.963628888130188,-5.273868083953857,-5.074072360992432,-8.650668144226074,-5.908786773681641,-5.264265537261963,-7.342597484588623,-10.414690017700195,-0.05277349427342415,0.004711843095719814,0.007737088482826948,0.0015052469680085778,0.003492298536002636,-0.003495246870443225,0.0011720441980287433,-0.004773089196532965,0.0005793126183561981,-0.0009611797286197543,-0.0009475169936195016,-0.0010532409651204944,0.003962347749620676,3966.2914187060796,0.3307240903377533,0.2920176684856415,0.325436532497406,0.42236676812171936,0.4438273310661316,0.34240779280662537,0.245240718126297,0.3055635988712311,0.3080148994922638,0.31595078110694885,0.276673823595047,0.3051888644695282
1,-559.0557250976562,93.00518798828125,-56.12602996826172,-22.323123931884766,-36.80900192260742,-2.4504175186157227,-1.598912239074707,-10.924007415771484,-9.640157699584961,-5.610427379608154,-6.4465813636779785,-6.062365531921387,-9.91442584991455,0.05881452187895775,-0.09702566266059875,-0.012844748795032501,0.08009210973978043,0.010196690447628498,-0.046938564628362656,0.0011523114517331123,-0.08063732832670212,-0.0758034735918045,0.004676832817494869,-0.01194814220070839,-0.023977473378181458,0.04256628453731537,4120.366399070537,0.3266849219799042,0.28473493456840515,0.26619118452072144,0.3548543453216553,0.4418622553348541,0.3930949568748474,0.2786659896373749,0.2542305290699005,0.3216627538204193,0.4120931029319763,0.29326552152633667,0.29704049229621887
2,-533.301025390625,100.39137268066406,-53.32118225097656,-10.212162971496582,-29.67844009399414,8.508502960205078,0.49833810329437256,-2.714087724685669,-13.61050796508789,-5.512847423553467,-9.271463394165039,-6.629802703857422,-6.044548034667969,-0.055111780762672424,0.026013633236289024,-0.05720825493335724,0.02623526193201542,0.06754200905561447,-0.0031900405883789062,0.02211047150194645,0.048781491816043854,-0.07549256086349487,0.00679044658318162,0.01251125056296587,-0.013722884468734264,0.03532566875219345,4023.059237149579,0.30821284651756287,0.26474761962890625,0.4068412184715271,0.4816135764122009,0.4396756589412689,0.344828724861145,0.3126821219921112,0.3792293965816498,0.3392523527145386,0.2995506227016449,0.2627893388271332,0.31659385561943054
3,-526.20849609375,105.21202087402344,-60.448974609375,-18.81343650817871,-26.108423233032227,2.847822904586792,-6.618180751800537,0.0339166633784771,-11.35433292388916,-9.480055809020996,-8.538490295410156,-5.98351526260376,-8.97398853302002,-0.3932742476463318,0.006551898084580898,0.14592179656028748,0.03253097087144852,-0.06049298495054245,-0.009626269340515137,0.004095808137208223,-0.040769416838884354,0.05246478319168091,-0.05318372696638107,0.005022598430514336,-0.02493068017065525,0.041530754417181015,3686.703949858201,0.29885333776474,0.29768139123916626,0.3791296184062958,0.4245401620864868,0.42852723598480225,0.3319224715232849,0.27326521277427673,0.3415049910545349,0.3725164830684662,0.3509863018989563,0.2383841723203659,0.2765199542045593
4,-494.99273681640625,85.03939819335938,-68.10304260253906,-21.94879913330078,-33.55231475830078,1.403860330581665,-2.8212058544158936,-1.7406916618347168,-11.418825149536133,-8.111332893371582,-9.393207550048828,-7.831798553466797,-7.664880752563477,-0.029187431558966637,-0.008913957513868809,-0.014684878289699554,-0.00743965245783329,0.012731723487377167,-0.008801717311143875,0.005021317861974239,0.004108613356947899,-0.014132877811789513,0.006329995114356279,0.010322676971554756,0.0027592098340392113,-0.004523596726357937,3810.2789566265037,0.282918244600296,0.316572368144989,0.293596476316452,0.33262330293655396,0.3539217412471771,0.3416753113269806,0.2727232575416565,0.27248141169548035,0.3370804488658905,0.32402852177619934,0.25748786330223083,0.2399572730064392
5,-511.89044189453125,87.82942199707031,-64.2778091430664,-20.118452072143555,-34.92061996459961,1.2409555912017822,-10.139548301696777,-2.4452426433563232,-11.145588874816895,-8.233281135559082,-9.34589672088623,-10.299919128417969,-8.638632774353027,-0.06028415635228157,-0.09296658635139465,0.0706331729888916,0.03646092861890793,-0.016041897237300873,-0.03270827606320381,0.0311942957341671,0.039794497191905975,-0.009245684370398521,-0.006958678364753723,-0.004030819516628981,-0.010781909339129925,-0.015316200442612171,4107.540433431306,0.35123589634895325,0.30732670426368713,0.3342488706111908,0.42318880558013916,0.4014703035354614,0.3014637231826782,0.2624236047267914,0.3160429894924164,0.31558912992477417,0.2680340111255646,0.2836613059043884,0.3080069422721863
6,-509.7890930175781,93.08805084228516,-69.4848403930664,-15.972457885742188,-31.684062957763672,-0.4036637246608734,-6.270040035247803,-3.309377908706665,-10.742176055908203,-4.513286590576172,-8.744673728942871,-6.229642391204834,-9.521291732788086,-0.27518555521965027,0.014827298931777477,0.0749390572309494,0.03773145750164986,0.0851646363735199,-0.04647795855998993,-0.007628471590578556,-0.014130789786577225,-0.06916702538728714,0.029439201578497887,-0.0015158959431573749,-0.005745305679738522,0.033127348870038986,3905.3262998274813,0.31496715545654297,0.2933428883552551,0.3533572256565094,0.37241798639297485,0.38197097182273865,0.29579615592956543,0.23296202719211578,0.3298984169960022,0.3665327727794647,0.3761679232120514,0.2882387936115265,0.310091495513916
7,-504.3392333984375,95.68222045898438,-71.89817810058594,-18.122560501098633,-29.40593147277832,-3.5550718307495117,-6.293992042541504,2.645688056945801,-12.78430461883545,-11.390003204345703,-7.983373165130615,-8.226020812988281,-9.41763973236084,-0.041444044560194016,-0.002248150995001197,0.09778401255607605,-0.03752797842025757,0.009564722888171673,0.03716054558753967,-0.060787633061409,0.02028091810643673,0.01684463769197464,0.015230529941618443,-0.002297877799719572,-0.01284349337220192,0.0029980388935655355,3803.8764730097073,0.28404533863067627,0.26501598954200745,0.32030031085014343,0.4160691499710083,0.4222625195980072,0.3842162787914276,0.3092699944972992,0.34324705600738525,0.30705025792121887,0.2913033962249756,0.23301559686660767,0.2760995328426361
8,-531.5706176757812,97.0411376953125,-58.72236251831055,-15.087112426757812,-21.094974517822266,-5.047584056854248,-8.681087493896484,0.4820539057254791,-15.037567138671875,1.1190378665924072,-9.282735824584961,-5.2848286628723145,-10.784991264343262,-0.1873740553855896,0.020057857036590576,-0.013272962532937527,0.029826875776052475,0.08755190670490265,0.029422344639897346,-0.013567174784839153,-0.028082294389605522,-0.018210452049970627,-0.04029271751642227,0.011247326619923115,0.017331751063466072,0.03433254361152649,4073.241713368052,0.39304500818252563,0.37581712007522583,0.4147837460041046,0.38950449228286743,0.41545113921165466,0.34481072425842285,0.22117573022842407,0.2705304026603699,0.3837350904941559,0.45404359698295593,0.3150917887687683,0.3201238512992859
9,-529.3154907226562,66.76312255859375,-56.10376739501953,-21.895713806152344,-36.829227447509766,-4.377260684967041,-2.098921060562134,-7.83451509475708,-11.386185646057129,-7.237758636474609,-3.3230340480804443,-10.042693138122559,-11.890278816223145,-0.31107059121131897,0.013792230747640133,0.11891327053308487,-0.036094676703214645,0.017323574051260948,0.003686892567202449,0.050972457975149155,0.04667690396308899,-0.00646666344255209,-0.023096611723303795,0.023381587117910385,0.011136352084577084,-0.007142551243305206,4903.362037766445,0.42011138796806335,0.33378395438194275,0.2836465537548065,0.3457615077495575,0.34931522607803345,0.2854691445827484,0.22169886529445648,0.26132261753082275,0.3440448045730591,0.4341011941432953,0.43362993001937866,0.4347245395183563
