,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lpc_0,lpc_1,lpc_2,lpc_3,lpc_4,lpc_5,lpc_6,lpc_7,lpc_8,lpc_9,lpc_10,lpc_11,lpc_12,pitch_mean,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
0,-506.4298095703125,81.15660858154297,-61.71449661254883,-13.424341201782227,-24.533720016479492,-1.963628888130188,-5.273868083953857,-5.074072360992432,-8.650668144226074,-5.908786773681641,-5.264265537261963,-7.342597484588623,-10.414690017700195,1.0,-2.1953284740448,2.302759885787964,-1.8150289058685303,1.4566218852996826,-1.3172998428344727,1.1796276569366455,-0.856585681438446,0.5666490793228149,-0.4390660524368286,0.4733618199825287,-0.4353055953979492,0.32464009523391724,-0.10436709970235825,1772.0673828125,9.316933907459438,14.270937072521292,16.014800932370115,17.83645685058526,18.37837385603808,18.666649744107527,47.153244062124536
1,-559.0557250976562,93.00518798828125,-56.12602996826172,-22.323123931884766,-36.80900192260742,-2.4504175186157227,-1.598912239074707,-10.924007415771484,-9.640157699584961,-5.610427379608154,-6.4465813636779785,-6.062365531921387,-9.91442584991455,1.0,-1.769430160522461,1.3524973392486572,-0.6065215468406677,0.18162964284420013,-0.5300644040107727,0.7103747129440308,-0.45440226793289185,0.20180030167102814,-0.07229774445295334,0.3290138840675354,-0.49182605743408203,0.5440633893013,-0.2860654890537262,1567.2353515625,9.666863600881014,15.46381271127198,15.7564310783395,16.64358772900175,18.77822415321459,17.684214661881793,45.10283839077775
2,-533.301025390625,100.39137268066406,-53.32118225097656,-10.212162971496582,-29.67844009399414,8.508502960205078,0.49833810329437256,-2.714087724685669,-13.61050796508789,-5.512847423553467,-9.271463394165039,-6.629802703857422,-6.044548034667969,1.0,-1.9184530973434448,1.7911139726638794,-1.409511923789978,1.0766047239303589,-0.9530849456787109,0.9393478631973267,-0.8338825702667236,0.7112622857093811,-0.4946986436843872,0.29458099603652954,-0.1985461264848709,0.288450688123703,-0.150164395570755,1618.60009765625,9.313777686416811,13.045651928146228,13.688061577480129,16.512712802147576,18.361518731716107,17.595890480178785,46.39896519146769
3,-526.20849609375,105.21202087402344,-60.448974609375,-18.81343650817871,-26.108423233032227,2.847822904586792,-6.618180751800537,0.0339166633784771,-11.35433292388916,-9.480055809020996,-8.538490295410156,-5.98351526260376,-8.97398853302002,1.0,-1.9873296022415161,1.8676751852035522,-1.5400680303573608,1.1412440538406372,-0.7193660140037537,0.6311159133911133,-0.5868216156959534,0.6204167604446411,-0.5838257074356079,0.40389367938041687,-0.2564634084701538,0.18316753208637238,-0.043705809861421585,1677.1220703125,9.601629358681869,13.442225857991096,15.23387254089553,17.37889810706344,18.635232335735314,18.689449957750004,45.920624052485515
4,-494.99273681640625,85.03939819335938,-68.10304260253906,-21.94879913330078,-33.55231475830078,1.403860330581665,-2.8212058544158936,-1.7406916618347168,-11.418825149536133,-8.111332893371582,-9.393207550048828,-7.831798553466797,-7.664880752563477,1.0,-2.1043362617492676,2.083463430404663,-1.6801644563674927,1.3417927026748657,-1.0911264419555664,1.1021043062210083,-1.159444808959961,1.0043666362762451,-0.6365673542022705,0.4492727518081665,-0.37004396319389343,0.2644001841545105,-0.07895350456237793,1719.6185302734375,9.414350675919092,14.140192782991951,16.19602709577571,18.554821777258194,19.977114204086742,18.827400184343286,47.58826723904557
5,-511.89044189453125,87.82942199707031,-64.2778091430664,-20.118452072143555,-34.92061996459961,1.2409555912017822,-10.139548301696777,-2.4452426433563232,-11.145588874816895,-8.233281135559082,-9.34589672088623,-10.299919128417969,-8.638632774353027,1.0,-1.8898845911026,1.7478091716766357,-1.425122618675232,1.0135724544525146,-0.6181108355522156,0.4844108819961548,-0.44957032799720764,0.4429449439048767,-0.3949577212333679,0.3870309293270111,-0.2706541419029236,0.18078412115573883,-0.07078234106302261,1707.8699951171875,9.731193827519217,15.696180957950881,16.280244292683335,17.936615358486407,18.22963530064547,18.747142446551713,46.79973033827952
6,-509.7890930175781,93.08805084228516,-69.4848403930664,-15.972457885742188,-31.684062957763672,-0.4036637246608734,-6.270040035247803,-3.309377908706665,-10.742176055908203,-4.513286590576172,-8.744673728942871,-6.229642391204834,-9.521291732788086,1.0,-2.0879909992218018,1.859533667564392,-1.2810481786727905,1.0174251794815063,-0.7554950714111328,0.6434910893440247,-0.6756032705307007,0.5806489586830139,-0.3237314820289612,0.2513340413570404,-0.24417993426322937,0.16523325443267822,-0.04290572926402092,1765.2679443359375,8.798118523681437,14.638388888342474,15.991355884347136,17.3168210938028,18.28705589369758,18.328611944051257,46.498314405745376
7,-504.3392333984375,95.68222045898438,-71.89817810058594,-18.122560501098633,-29.40593147277832,-3.5550718307495117,-6.293992042541504,2.645688056945801,-12.78430461883545,-11.390003204345703,-7.983373165130615,-8.226020812988281,-9.41763973236084,1.0,-2.1091361045837402,1.9583849906921387,-1.414631724357605,1.1934655904769897,-1.085514783859253,1.061930537223816,-0.8763790726661682,0.5935243964195251,-0.4929542541503906,0.4938310384750366,-0.3826231360435486,0.2360621690750122,-0.04562142863869667,1764.367919921875,9.80765211740543,14.362356699519575,15.999498054471436,17.842131795375717,17.996689705314136,19.66600997841076,46.6788546022087
8,-531.5706176757812,97.0411376953125,-58.72236251831055,-15.087112426757812,-21.094974517822266,-5.047584056854248,-8.681087493896484,0.4820539057254791,-15.037567138671875,1.1190378665924072,-9.282735824584961,-5.2848286628723145,-10.784991264343262,1.0,-1.90486478805542,1.5315138101577759,-1.1996207237243652,1.2761144638061523,-0.9442345499992371,0.629700779914856,-0.654533863067627,0.6189682483673096,-0.4370359480381012,0.37250709533691406,-0.3304084539413452,0.23533856868743896,-0.06002093479037285,1797.7916259765625,9.211126069571087,14.234833703923734,15.110253130411735,16.599488244497184,16.991547428360743,18.10150775175736,45.46340515415258
9,-529.3154907226562,66.76312255859375,-56.10376739501953,-21.895713806152344,-36.829227447509766,-4.377260684967041,-2.098921060562134,-7.83451509475708,-11.386185646057129,-7.237758636474609,-3.3230340480804443,-10.042693138122559,-11.890278816223145,1.0,-1.825263500213623,1.2597845792770386,-0.2850019037723541,0.0020630955696105957,-0.25467705726623535,0.34981194138526917,-0.2051335722208023,0.2087327241897583,-0.27639588713645935,0.3452751338481903,-0.33348721265792847,0.28666365146636963,-0.08839932084083557,1804.161865234375,9.777353880556857,9.30021462219803,16.035655353304357,18.474493450647685,19.716993731070797,18.32874365563838,44.237789948060666
